value,count
میبینید,12
تعصب,12
برم,12
ظاهر,12
جهانه,12
مورد,12
زیبایی,12
معرکست,12
15,12
محترم,12
می‌کند,12
چینی,12
م,12
هزار,12
بنویسید,12
بذارین,12
لازمه,12
تون,12
z5,12
هفته,12
ما,12
ماند,12
متفاوت,12
بکنن,12
ا,12
بقیه,12
فهمید,12
فلش,12
شدید,12
نگرفتم,12
آمپر,11
حرفا,11
بودیم,11
سلفیش,11
بیفته,11
بذاره,11
یکم,11
فارسی,11
ریختم,11
نرسیده,11
بهتون,11
بهتریه,11
اسپیکر,11
c,11
خواهشا,11
بکنی,11
شک,11
نمیارزه,11
cpu,11
باز,11
فروختمش,11
مدل,11
میشیم,11
ضربه,11
بزنین,11
چینه,11
ریخت,11
پذیره,11
گوشیو,11
ios,11
خوشدسته,11
بیام,11
کسانی,11
بزارن,11
نوکیا,11
مختلف,11
روزه,11
برن,11
سریعتره,11
خرمش,11
بگین,11
غولیه,11
اپله,11
ی,11
کوچیکه,11
نویسم,11
میدادم,11
عااالیه,11
میگیری,11
نیاورد,11
پره,11
M,11
2015,11
نخوره,11
چون,11
گردی,11
قیمتی,11
واسش,11
ببرم,11
بشود,11
اینطوریه,11
هندزفری,11
نشدن,11
دیدن,11
دادین,11
اعصابه,11
مثل,11
شاید,11
باریک,10
نی,10
خداحافظ,10
موافقا,10
پر,10
تلگرام,10
میدین,10
ساخته,10
ایرانی,10
G5,10
بیوفته,10
خوشکله,10
خاموش,10
اوله,10
نشن,10
داشتنیه,10
ندهید,10
صرفه,10
حیف,10
فرد,10
بخریمش,10
فروش,10
توش,10
کلا,10
برداری,10
برخورداره,10
جذابه,10
منتظرشم,10
معتبر,10
ن,10
انتخابم,10
بندازه,10
چجوریه,10
آخر,10
میخوان,10
جلوتره,10
اورده,10
والسلام,10
زودی,10
حد,10
زودتر,10
تماس,10
نوت,10
کاربره,10
عادی,10
امپر,10
پیشه,10
عاااالیه,10
کسی,10
چنده,10
|,10
خوشحالم,10
مقاومه,10
کلاسه,10
ندارین,10
خریدنش,10
میخواستم,10
متاسفم,10
براشون,10
بگیرد,10
سفید,10
طور,10
وسلام,10
نمیکنی,10
انگار,10
جذاب,10
تکراریه,10
بار,10
ویندوز,10
بیسته,10
همتون,9
خدمتم,9
شرکت,9
نمیخرم,9
دوستانی,9
قرمز,9
منطقیه,9
بنظرم,9
متاسفانه,9
میداشت,9
نمیداره,9
نشست,9
دستتون,9
مدت,9
گرونتره,9
مشخصات,9
سایت,9
پشتش,9
گذاشتین,9
تکنولوژی,9
رنگ,9
میپسندم,9
j7,9
زیباییه,9
نشین,9
والا,9
مفته,9
دور,9
نگرفتن,9
بیارم,9
می‌شه,9
انصافا,9
نزاشته,9
بخونین,9
مداوم,9
نمیبینید,9
توپه,9
بدهید,9
LG,9
می‌کنند,9
مثلا,9
گفته,9
ساله,9
کیبورد,9
دانلود,9
ش,9
موضوع,9
مجازی,9
نمایندگی,9
تکه,9
بکنین,9
موقع,9
زود,9
لپتاپ,9
lite,9
داراست,9
نمیومد,9
اصله,9
نما,9
ارزد,9
جالبیه,9
کارایی,9
نباشد,9
17,9
ندادم,9
میبرین,9
شیشه,9
هسته,9
بشکنه,9
پیش,9
S6,9
بدونم,9
پریمیوم,9
میخورد,9
بسازه,9
راحتی,9
راضی,9
شرمنده,9
بینید,9
توجه,9
فای,9
کاملیه,9
بگیم,9
منتظرن,9
میخریدمش,9
میرسید,8
موافقه,8
میرسونه,8
ع,8
پوشیه,8
منفی,8
نیاورده,8
توجهتون,8
مشکیه,8
گیگابایت,8
جالب,8
محصولاتش,8
بندازن,8
ماهه,8
میخوامش,8
می‌شود,8
بزرگیه,8
بخدا,8
همزمان,8
بیارن,8
آیفونه,8
تومن,8
پلاستیکی,8
همینطوره,8
میسوزه,8
premium,8
هنگی,8
نکنی,8
نخرین,8
خخخ,8
نکند,8
نمایشش,8
شنیدم,8
گشتم,8
hd,8
چه,8
نقصیه,8
میگی,8
انتخاب,8
میاورد,8
تاب,8
شارژر,8
میگیرمش,8
نشود,8
زمین,8
خوش,8
بری,8
ماست,8
میلیون,8
ظاهرش,8
ممکن,8
میخام,8
قیمتشه,8
کاربر,8
یکی,8
یاد,8
زمینه,8
فلز,8
نرم,8
میبینه,8
قدیمیه,8
خورده,8
بزرگتره,8
گ,8
قویتر,8
میارید,8
نمره,8
خاکستری,8
بکند,8
نصبه,8
فوق‌العاده,8
عکاسی,8
64,8
ترکونده,8
واقعی,8
پیشرفته,8
نرسه,8
هدفون,8
نخورین,8
میارم,8
فلزیه,8
کشه,8
دوباره,8
دسترسه,8
نمیرم,8
عالییییی,8
نکسوس,8
مگ,8
داشتند,8
خوبم,8
دم,8
عالییه,8
x,8
مهم,8
حیفه,8
محشر,8
طوری,8
پدرم,8
تعویضه,8
افزاریه,8
C,8
ببخشید,8
چقدره,8
بیاورید,8
میفروشه,8
11,8
روانه,8
اینا,8
اینچی,8
ممکنه,8
فرستاد,8
جوریه,8
روشه,8
کلاس,8
بشی,8
نمیکنند,8
الکیه,8
میسازه,8
اومدم,8
بزرگوار,8
نکید,8
د,8
رسوند,8
برگرده,8
خود,8
v10,7
ناراحتم,7
پرچمدار,7
محیط,7
18,7
820,7
میبرن,7
میگرفت,7
3g,7
لمسیه,7
انداخته,7
ببینن,7
برنده,7
تموم,7
سیمکارت,7
نتیجه,7
ننوشته,7
رفتم,7
بیست,7
میبینیم,7
میگیرید,7
قبلیم,7
سامسونگم,7
محضه,7
شخصیه,7
6p,7
خارجی,7
دوربینه,7
نماید,7
افتادم,7
پلاستیکیه,7
وجه,7
ببنید,7
میمونم,7
ترین,7
نیفته,7
بای,7
کارته,7
همن,7
گزینست,7
داغونه,7
ویتنام,7
کمی,7
برگشت,7
حساسم,7
نمیداد,7
چطور,7
بسیار,7
بفروشم,7
بابا,7
قشنگیه,7
خمیده,7
6اس,7
اومدن,7
بخونه,7
پسندم,7
ضعفه,7
شارژه,7
بله,7
زیر,7
خونه,7
داشتنی,7
برداشت,7
برندها,7
اس6,7
پلاستیک,7
واضحه,7
OTG,7
تصویر,7
میبینن,7
خریدین,7
دادید,7
میکن,7
نیفتاده,7
عالییی,7
نرفتم,7
داریه,7
میگیرد,7
میکردی,7
برابره,7
جی5,7
باطریشه,7
چیزا,7
v20,7
عیب,7
تنظیمات,7
مند,7
نمیخواد,7
کارکنه,7
نقد,7
صداش,7
آیا,7
بگذارم,7
بیاید,7
میرن,7
نوشتن,7
خوبش,7
بررسی,7
مردم,7
ازتون,7
گیگه,7
میزنی,7
حتی,7
آوره,7
عالیی,7
لطفاً,7
بذارن,7
نیازه,7
روزمره,7
اس7,7
زمانی,7
گرفتی,7
وبگردی,7
ناموجوده,7
2017,7
بشیم,7
فعاله,7
پرچمداره,7
مگابایت,7
چیز,7
رقیب,7
بدهد,7
نزنه,7
میکشن,7
نوشت,7
نمایشگر,7
بکشه,7
وزن,7
بفروشه,7
کافی,7
نکردین,7
خریدیم,7
مبارک,7
محکمه,7
مهمان,7
عااااالیه,7
ظریفه,7
چیست,7
میخره,7
مات,7
کاور,7
کاشته,7
دهی,7
تحقیق,7
لمسی,6
نیفتاد,6
مشابه,6
انداخت,6
پرقدرت,6
کوچیک,6
بگیرند,6
همراه,6
بیتی,6
ببرند,6
بودش,6
پیکسل,6
می‌ده,6
بخش,6
قبولیه,6
پلاستیکه,6
غیر,6
دقیقا,6
بدیه,6
برداره,6
بانک,6
نداشتیم,6
نزنید,6
نمیفته,6
فرستادن,6
خوردن,6
اونهاست,6
ترم,6
بخرینش,6
فعلی,6
دستی,6
برسم,6
شفاف,6
فایل,6
اضافی,6
انگیزه,6
خوشگل,6
میرفت,6
افتضاح,6
چطوریه,6
قلم,6
وقتی,6
خرابه,6
می,6
میرود,6
میکشم,6
فوقالعاده,6
سه,6
رنج,6
راضین,6
واقعیه,6
خداروشکر,6
کی,6
عاااالی,6
سازگاره,6
مقاوم,6
گذارم,6
بوک,6
گوشیش,6
کالایی,6
بکشم,6
قاب,6
گرفتیم,6
نگیره,6
فرمایید,6
آله,6
قدرتمنده,6
ssd,6
اینو,6
فیلمبرداری,6
شارژش,6
اتوماتیک,6
بلنده,6
دقیق,6
حال,6
کاری,6
فون,6
پاور,6
دونن,6
بزرگتر,6
اعلان,6
usb,6
سازه,6
priv,6
نگفت,6
عشقه,6
معروفه,6
بزاری,6
ترکوند,6
میان,6
بودنه,6
برمیگرده,6
گوشیتون,6
فهمیدم,6
هستی,6
دوربینشه,6
سفیدش,6
گل,6
میزد,6
فلان,6
حداقل,6
کارآمد,6
حساسه,6
نمایشه,6
طبیعی,6
غوله,6
ضعیفشه,6
پ,6
میموند,6
مکالمه,6
ایراد,6
نوازه,6
N,6
شناخت,6
مشتری,6
چشم,6
بفروشن,6
میرم,6
ندن,6
دونم,6
گوش,6
بعدی,6
دعا,6
ک,6
هوا,6
نمودم,6
تاچش,6
نوره,6
میخواین,6
نمیدید,6
میفهمید,6
یه,6
یکسانه,6
بهم,6
میذارن,6
زنه,6
اخر,6
موفق,6
انگشته,6
پولی,6
D,6
مطلوب,6
دیده,6
موافقم,6
14,6
رسد,6
میدیم,6
امد,6
ندم,6
تری,6
بدنش,6
جیبش,6
نخرم,6
جوره,6
615,6
راضییم,6
بیاورد,6
بعیده,6
شین,6
برین,6
انتظار,6
کنیید,6
میپوشونه,6
تومان,6
هسش,6
a5,6
دیه,6
جهت,6
امده,6
انتظاره,5
ببینیدش,5
گیم,5
بلندگو,5
میذاشت,5
i7,5
هشت,5
ddr4,5
خواندید,5
نخورده,5
کاغذ,5
نیت,5
g4,5
گلدش,5
میخریم,5
بینظیر,5
قدیمی,5
جاش,5
مخه,5
مطمئن,5
نمی‌کنه,5
نباشن,5
قضیه,5
میدهند,5
ظاهری,5
ایرانه,5
p8,5
سنسور,5
میفروشن,5
بهتری,5
معنا,5
شدنشه,5
بزاریدش,5
دانست,5
برسد,5
ساعته,5
اینجاست,5
بینم,5
آیند,5
ساپورت,5
رزگلد,5
اشتباه,5
دوگانه,5
j5,5
مگاپیکسلی,5
اوکیه,5
نخرن,5
اچ,5
بهترینهاست,5
میخرند,5
میزارن,5
مربوطه,5
شن,5
فریم,5
اینکه,5
32,5
میگرفتن,5
ندیده,5
پرسیدم,5
امنیت,5
VGA,5
ترن,5
بدتر,5
خوندن,5
معرکه,5
تی,5
بفروشمش,5
نوتیفیکیشن,5
هواویه,5
نمیان,5
کمیابه,5
نگرفته,5
نخریدش,5
واسم,5
اجرامیکنه,5
خداییش,5
باهم,5
آبه,5
HD,5
اب,5
شوم,5
لمس,5
ببر,5
موردش,5
آپدیت,5
نکردنیه,5
نرین,5
نیامد,5
تبلیغات,5
بردارین,5
هزینه,5
شخصی,5
رازیم,5
z2,5
تاپه,5
صفره,5
بازم,5
میباشند,5
نخر,5
آمپره,5
یکه,5
فوق‌العادس,5
اوناست,5
بسوزه,5
سامی,5
SONY,5
استریو,5
واضح,5
کابل,5
محدود,5
دهندست,5
5s,5
قشنگتره,5
ناراضیم,5
تنده,5
میگرده,5
شدنش,5
نیاره,5
کشیدم,5
می‌کنید,5
کروم,5
دن,5
نمیکردن,5
se,5
کارکردم,5
ساختن,5
مفیده,5
میزاشتن,5
ارزشمنده,5
خاصیه,5
میخری,5
خاموشه,5
زیادش,5
میخورید,5
میگیریم,5
فروشگاه,5
کجاس,5
یافت,5
ت,5
سادگی,5
ل,5
ف,5
کره,5
میخوای,5
گرونتر,5
نشسته,5
زیادیه,5
هههه,5
خام,5
درمیاد,5
ایی,5
میدارد,5
هاس,5
نخورن,5
نکردند,5
نمیدونن,5
تغییر,5
اندرویدیه,5
مگه,5
فلزه,5
قابلیت,5
دهندس,5
کالاست,5
بکنیم,5
کردنی,5
سیستم,5
جلوش,5
داشتنش,5
سفیده,5
العادن,5
دانید,5
محترمه,5
نویز,5
ریز,5
V20,5
ره,5
نمیشینه,5
اضافه,5
اجتماعی,5
H,5
هه,5
اصلیه,5
میفهمی,5
بزودی,5
هفت,5
نیوفتاده,5
نگرفت,5
دستته,5
300,5
انداختم,5
خودمه,5
باید,5
گوشیت,5
اه,5
ارزید,5
باتریشه,5
هوم,5
برات,5
v,5
خریدتون,5
افزارش,5
ندادن,5
نخریم,5
میگیرند,5
مموری,5
نمیارم,5
کردنه,5
صفر,5
میلرزه,5
کاره,5
کردنش,5
معناست,5
m9,5
خ,5
تازه,5
شو,5
نمیگیرم,5
مدله,5
شیم,5
ندیم,5
همونه,5
تعمیر,5
ایفونه,5
چیش,5
گزاشته,5
گوشیها,5
نمی‌شود,5
نمیبینه,5
مادرم,5
حسینی,5
معتبره,5
نریزید,5
مثبت,5
می‌شد,5
قلب,5
فروشه,5
اصن,5
ببری,5
برگشته,5
دزدیدنش,5
خوام,5
گرافیکی,5
تقلبیه,5
عالیش,5
شدیم,5
بگذاره,5
بذار,5
میاید,5
طلاییش,5
بنویسه,5
ندیدن,4
QHD,4
کلی,4
IOS,4
پیشرفت,4
خریدید,4
مارک,4
برابر,4
اپدیت,4
موتورولا,4
ریخته,4
هرچی,4
موبایله,4
میگردند,4
تایوان,4
امولد,4
پسندیدم,4
زمان,4
اکسترنال,4
میشند,4
ملت,4
فاجعه,4
حسابی,4
بسته,4
مصرف,4
هنره,4
A9,4
جادویی,4
ضعیفتر,4
نوآوریه,4
ایش,4
پسنده,4
نباشند,4
ماژولار,4
ایول,4
اجرا,4
میدادن,4
NFC,4
ادمو,4
برانگیزه,4
دیگ,4
بگو,4
داداش,4
نوت5,4
M9,4
اشتباست,4
بدونین,4
ناشناس,4
نبودنشه,4
طراحیش,4
نرمتره,4
قوته,4
ایر,4
نذاشت,4
میشدم,4
هاشه,4
عالیییی,4
خوشگلیه,4
امتیازه,4
بفهمین,4
بعضیا,4
نمیصرفه,4
digikala,4
یافته,4
بگیریدش,4
متنوع,4
دستت,4
کارمیکنه,4
برندشه,4
اساسی,4
گذاشتی,4
آینده,4
میدونین,4
گذشتم,4
نمیری,4
جداگانه,4
256,4
نو,4
مگاپیکسله,4
اطلاعات,4
نت,4
دلیلی,4
دیدیم,4
پیکسلی,4
قبله,4
ایکس,4
شبیه,4
ارزان,4
دادنه,4
بکنند,4
میدارم,4
نبرید,4
مشکلات,4
کاربریش,4
pro,4
آزاده,4
باکلاس,4
نمیشناسه,4
شیاومی,4
مایکروسافت,4
صفحش,4
خوشگلتره,4
بردارم,4
تمامه,4
ویدئو,4
غبار,4
قابلیته,4
میاری,4
اوری,4
نمیبره,4
سازنده,4
میبرند,4
میخورن,4
امکاناته,4
128,4
نزارید,4
خخ,4
میفهمن,4
گوشیا,4
اینتل,4
پرسرعت,4
گوشیاست,4
اوقات,4
کندی,4
نازکه,4
خلاصه,4
بریزی,4
RAM,4
میریزه,4
اندروید5,4
سری,4
نیوفتاد,4
باتریه,4
مقایسه,4
آمده,4
عمل,4
الکی,4
میترکونه,4
ترتیب,4
کاملا,4
میشینه,4
دقت,4
رسند,4
بپوشونه,4
میافته,4
نمیوفته,4
Z5,4
آی,4
متری,4
نشوند,4
نیامده,4
Believe,4
نشند,4
داشتی,4
بسازن,4
کاش,4
میشنون,4
p9,4
دلخواه,4
کدومه,4
محسوسه,4
میشده,4
اغراق,4
استور,4
موندن,4
میدادید,4
گالری,4
همینجا,4
زند,4
ندیدیم,4
کامپیوتر,4
غباره,4
4c,4
میندازن,4
بخواد,4
تحسینه,4
نرفته,4
باریکه,4
دوستانه,4
می‌باشد,4
انتوتو,4
شکر,4
خوشبختانه,4
شرکته,4
G2,4
جمع,4
بپردازید,4
معقول,4
فوقالعادس,4
پرچمداران,4
ازشون,4
رسمی,4
گرون,4
سرویس,4
بپرسید,4
عملکردش,4
عجیب,4
خوری,4
کارامده,4
خریدی,4
USB,4
android,4
ظرفیت,4
اشغاله,4
سازد,4
برگردم,4
بالاش,4
قسمت,4
داند,4
پلیمری,4
مینداخت,4
خواد,4
نسبت,4
گذاشتند,4
میدارن,4
میچرخه,4
نزد,4
بردارید,4
دیزاین,4
دیتا,4
عالیییه,4
قبولن,4
401,4
V,4
مسخرست,4
خش,4
4جی,4
پایینتر,4
همچنین,4
میدیدم,4
ایناس,4
وی,4
داشتید,4
O,4
مشهد,4
},4
خوردنه,4
میشدند,4
نمیخریدم,4
